file_name,caption_1,caption_2,caption_3,caption_4,caption_5,final_caption,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Box opened.wav,A metal object is tapped on a wooden object.,A metal object is tapped onto a wooden object.,A object is taken out of a box and the box is closed.,An object is taken out of a box and the box is closed.,Occasionally the silence is broken by random sets of tapping.,"Open a box, take an object out of the box, then close the box.",,,,,,,,,,,
Paper Unfurl.wav,A bunch of papers is being shuffled around by someone.,"""A person rummages through a desk, rustling paper.""",A stack of papers being shuffled and dropped repeatedly on a hard surface.,A stack of papers is being shuffled and then repeatedly dropped on a hard surface.,Someone is going through a bunch of papers.,A stack of papers being shuffled and dropped repeatedly on a hard surface.,,,,,,,,,,,
1233_dripping_water_2.wav,A chiming vibration occurs as water drips onto a metallic surface.,Water drips into an empty shallow metal pan repeatedly,Water drops are falling into a metal pot.,Water drops slowly fall into a metal pot.,Water repeatedly drips down into a metal pan.,"Water droplets continuously fell onto the metal surface, producing a tinkling vibration sound.",,,,,,,,,,,
lock_unlock.wav,A person unlocks and locks a door repeatedly while a woman whispers softly.,Someone opens a lock and then breathes heavily before going back to unlocking and locking the lock repeatedly.,Someone was opening and closing the door using the latch on it.,The person is whispering while they slide something back and forth with a clunking sound.,They locked and unlocked the door repeatedly while she whispered softly,"A person repeatedly unlocked and locked the door, while a woman murmured softly, ending with faint breathing sounds.",,,,,,,,,,,
Deplacez-vous.wav,"""A police siren, followed by a megaphone announcement, then short siren blasts.""","""An ambulance sound driving, stopping and starting again""",A fire alarm going off and on with people talking,People are talking while an alarm goes off and on.,Sirens go off then a bit of talking followed by more sirens.,"First came the wail of sirens, followed by a loudspeaker announcement, then a brief wail of sirens, with the sound of cars driving in the background.",,,,,,,,,,,
hereg_hungary__grain_field_2_20080712.wav,Different species of insects chirping by rubbing their legs together.,Grasshoppers and crickets are chirping while traffic is passing by in the distance.,Grasshoppers and crickets are chirping while traffic passes in the distance.,Locusts are singing and crickets are chirping softly.,Locusts are singing and crickets chirp softly throughout.,Grasshoppers and crickets are chirping while traffic is passing by in the distance.,,,,,,,,,,,
little_brass_bell.wav,A high pitched tone of a bell that is ringing.,A series of small metal bells are being struck and ringing.,"Several small bells are stuck, making them ring.",Someone is shaking a small bell over and over.,Someone is shaking a very small bell repetitively.,A series of small metal bells are being struck and ringing.,,,,,,,,,,,
Omsk_Victory_park_10_1.wav,Birds are chirping at one another in the outdoors,Birds are chirping at each other while traffic goes by in the distance,Birds chirping at one another while traffic goes by in the distance,Cars are passing by and birds are chirping in the trees.,Cars pass by as birds chirp in the trees.,"In the distance, traffic flowed like a river, while birds chirped to one another.",,,,,,,,,,,
gozd_ptice02.wav,"""All different kinds of birds are loudly tweeting, chirping, and singing.""",Several different types of birds chirp and sing loudly.,The birds were chirping while the pigeon cooed,The tiny birds communicated with one another by peeping.,"""Various birds are singing, chirping and tweeting loudly.""",The birds were chirping while the pigeon cooed,,,,,,,,,,,
20070620 092618 front garden sultan palace jogjakarta.wav,A caged bird sings a lonely song amid mumbling human conversation.,People are having conversations as birds tweet in the background.,People are talking at an aviary while birds chirp overhead.,People talk to one another while a bird chirps.,Several people make conversation while a bird chirps.,People are having conversations as birds tweet in the background.,,,,,,,,,,,
birds 1.wav,A bird is chirping as another is singing.,Many different birds chattering and singing in close proximity to each other.,Many different birds were chattering and singing within close proximity to each other.,Several different birds are chirping and the humming.,Several different types of birds hum and chirp.,Many different birds chirped and chattered near one another.,,,,,,,,,,,
owl+bats+city_filt.wav,"A bird call out loudly, a siren rings out, and then the bird calls out two more times.","A bird chirps while a siren wails, and then, the same bird calls out twice more.",A bird is making a bird call somewhere in the distance.,An ambulance blares its horn while an unusual bird makes noise.,An owl hoots in the night sky as winds blow,"The owl hooted loudly, a siren wailed, and then the owl hooted several more times.",,,,,,,,,,,
Cicada-Indian Insect Sound.wav,A cricket continuously chirps while wind blows in the background.,"""A snake is rattling its tail, and crickets are chirping.""",Bugs are buzzing and then pulsating before they become quiet.,Bugs buzzing and then pulsating before they die down.,Crickets are chirping while a snake is rattling its tail.,Bugs are buzzing and then pulsating before they become quiet.,,,,,,,,,,,
creeky chair.wav,A creaky wooden door is slowly opened and then closed by a person .,A person slowly opening and then closing a creaky wooden door.,An old wooden floorboard creaking and moaning under the weight of someone.,One hard object being dragged and scrapped against another hard wooden object.,The old wooden floor is creaking as someone is walking or standing over it.,A certain wooden piece of furniture or object emits a creaking sound.,,,,,,,,,,,
Canarian_Bird_In_Cage_Singing_1.wav,A bird is screeching while other birds tweet lightly and chirp.,A little bird squeaks inside a small room.,"The squeaking of animals carries on incessantly between brief pauses of silence before escalating into loud, rapid chirps.","Before escalating into loud, rapid chirps, squeaking from animals carries on incessantly between brief pauses of silence.",One bird calls high pitched while others twitter and peep softly nearby,"A small bird chirped softly, then gradually grew into a loud, rapid chirping. In the distance, faint dog barks could be heard.",,,,,,,,,,,
PIT-ROIG 0.12-0.17.wav,A person is walking on leaves while birds are chirping.,A person is walking around and observing outdoors.,Feet stamp on gravel path and further off birds tweet,Water is running near by while footsteps crunch and voices talk.,footsteps along gravel with bird song in background,"A person is walking, with faint voices in the background, accompanied by birdsong.",,,,,,,,,,,
snow.wav,A man briskly walking through the snow outside.,"""A man briskly walking, snow is crunching underfoot.""",After coming in from the rain the shoes produced an audible squeak with each step.,"""In the pristine snow, someone with boots is walking and dragging a sledge behind them.""",Someone is walking through pristine snow with boots on and dragging a sledge behind them.,A man briskly walking through the snow outside.,,,,,,,,,,,
Footsteps On Squeaky Wood Floor.wav,Heels from shoes clop on the floor while slightly squeaking.,Quiet footsteps slowly get louder as the floors start creaking.,Shoes stepping and moving across an old hardwood floor.,Someone wearing shoes walks across a wood floor.,Someone with shoes on is walking on a creaky floor.,Someone with shoes on is walking on a creaky floor.,,,,,,,,,,,
rainyday.wav,A shower running in the foreground as the water drains.,A shower with tile floor having running water drain into the catch drain.,Steady and strong rainfall hits puddles and pavement,The shower water echoes into the empty stall.,Water runs while a loud wind blows in the background over time.,Steady and strong rainfall hits puddles and pavement.,,,,,,,,,,,
Mallarenga_petita_i_Gafarro.wav,"Among the noisy traffic, birds are happily chirping.",Birds are happily chirping among the noisy traffic.,Birds sing in the background as the wind continues to blow.,The wind blows as birds sing in the background.,"vehicles driving by, birds singing, and a few people talking quietly","Amidst the clamor of traffic, birds chirped cheerfully.",,,,,,,,,,,
Fuente_collserola_bcn.wav,Liquid pouring into a basin that has already had liquid poured into it.,Water flows at a constant rate in a gurgling fashion.,Water flows in a gurgling fashion at a constant rate.,Water is running and filling up a bathtub.,water running into a bathtub for a bath,Water flows steadily and continuously.,,,,,,,,,,,
Busy Playground.wav,A bird chirping with people talking in the background.,A bird is chirping while people are talking in the background.,"A bird is chirping, and a metal object audibly moving, as people chat.",Children are talking and swinging on a playground.,Children are talking and swinging on playground equipment.,Children chatted and swung on the playground while birds chirped.,,,,,,,,,,,
20061208.waves.02.wav,A person wades and treads in the water.,Water being gently moved in pool and some water splashing as moving.,Water moves and splashes as waves crash far in the distance.,Water ripples gently in a pool as it moves.,Water was gently moved in pool and some water splashed as moved.,"A person wades through the water, the pool gently flowing, splashing up droplets as it moves.",,,,,,,,,,,
Slider door.wav,"""A person pulled the cord to lift the blinds, then open the window.""","""A sliding door screen is opened, then the glass sliding object is opened, then the glass sliding object is closed.""","""Moving through the plastic, and opening and shutting a drawer.""",The wheel of the lawn mower squeaks as it cuts the grass.,"""Three sets of doors are opened, including the glass, then the screen, then the glass again.""","Someone pulled the cord to raise the blinds, then opened the window, and then closed the window.",,,,,,,,,,,
Ambience with people.wav,A crowd of people are talking as a siren beeps in the background.,A large group of people were talking as a machine was working nearby.,A wide variety of people are talking and a machine is running nearby.,"As a machine beeps, people chatter in a large building.",People chatter in a large building as a machine beeps.,"A group of people were conversing, with a machine operating nearby, emitting a beeping sound.",,,,,,,,,,,
_01storm - orage.wav,"""As the man left the building, strong wind blew, rain began to fall and thunder boomed in the distance.""","""As the man left the building, the storm grew stronger""",Rain is pouring down while thunder is occurring.,The rain continues as thunder rumbles in the distance.,Thunder rumbles in the distance as rain patters down,The rain continues as thunder rumbles in the distance.,,,,,,,,,,,
Bandsaw Cut.wav,A person cutting wood using a table saw.,A person using a table saw cutting wood,A table saw is turned on by electric power and then used to cut.,Someone is cutting a piece of wood with a saw.,"Using a saw, someone is cutting a piece of wood.",Someone is cutting wood or metal with a chainsaw or table saw.,,,,,,,,,,,
"""Chinese Restaurant Atmo, Germany, Subtle.wav""",Dishes are being clanged and scraped together and children are talking.,Dishes are clanging whiles plates are scraping and children are talking.,Several people are in a restaurant chatting with dishes clanging in the background.,Several people in a restaurant chatting with dishes clanging in the background.,Some plates and dishes are clanking and a lot of inaudible speech is being said.,"The clatter and scrape of dishes, children chattering, adults talking too.",,,,,,,,,,,
Walking in Circles around fountain.wav,A person is walking near flowing water and sniffling while the wind blows.,Someone walking near the flowing water who is sniffling as the wind blows.,Water flows and wind blows as the person sniffles.,"""Wind blows in the foreground, while water trickles in the background.""",wind noises in the foreground with water noises in the background,"A person walks along the flowing water, sobbing while facing the wind. In the background, birds chirp and faint voices of people converse.",,,,,,,,,,,
Bathtub_water-gentle-swish.wav,"""A child is playing around in the bathtub, moving water around with their hands.""",A child moves water with their hands as they play in the bathtub,Someone is splashing water around multiple times over and over.,Someone putting their hand in tank of water several times and closing tank,Something is in a bathtub as someone scoops water over it.,Someone repeatedly stirs the water.,,,,,,,,,,,
welding2.wav,A plane sander is being used by someone in a workshop.,An electric saw is being used in the background.,Machinery is grinding against metal while some metal clangs.,"We entered the room, and an electric saw was being used in the background.",metals are being filed by a machines with a spinning blade,"Machinery grinding against metal, the whirring of chainsaws cutting through wood, and finally the sound of cars approaching.",,,,,,,,,,,
SFX_BEER-Bottle-Cap-Open-POUR.wav,"Opening a soda bottle makes the lid fall, creating a beeping sound before the soda fills a glass.","Several bottles of liquid are opened up by someone, before they begin pouring out a glass.",Someone opening several bottles of a beverage and then pouring a glass.,Three bottles being opened using a traditional bottle opener and one of them being poured out into a glass.,Three bottles opened with a bottle opener and pouring into a glass.,"Using a bottle opener, open three bottles of liquid. The caps pop off with a hissing sound. Pour one bottle of liquid into a glass; the liquid contains gas.",,,,,,,,,,,
LaveGlace.wav,A person is using the windshield wipers and a spray.,A person operates windshield wipers as well as the spray.,A windshield wiper is clicked on and off.,Windshield wipers are activated and then are deactivated.,Windshield wipers clear a windshield as the power windows move in a car, A person operates windshield wipers as well as the spray.,,,,,,,,,,,
Busy bar ambient sound.wav,A large crowd of people talking to each other.,Many people are speaking in the background of a very noisy place.,Multiple people speak against a very noisy background.,Several people chatting inside of a crowded restaurant.,Some people are talking in a crowded room.,People are chatting in a crowded restaurant.,,,,,,,,,,,
shower running.wav,A woman is washing her feet in the shower,"""In the vacant gymnasium, water runs full force and fills a container of some sort.""",Water being sprayed causes dripping and creates an echo in the foreground.,Water is running full force and filling a container of some sort.,water spraying and dripping with an echo in the foreground,The sound of water splashing from the showerhead,,,,,,,,,,,
Glass Knock.wav,"""A hammer striking the side of a large, hollow metal container, and the sound echoing inside.""","""A knocking pattern of two knocks, two knocks, a single knock, and a single knock is then repeated.""",A person is hitting hard glass with a tool.,"""Knocking can be heard in a pattern of two knocks, two knocks, a single knock, single knock and then repeat.""",Piercing raps on a hard surface resound intermittently., A person is hitting hard glass with a tool.,,,,,,,,,,,
Rain drops.wav,A near silence is interrupted by regular small and low blips.,The fingers of a person are rapping quickly against a keyboard.,Silence is punctuated by regular tiny and low blips.,Someone is putting together clips to create rapid snapping songs.,Someone is joining clips together to create sounds over and over again.,The faint patter of rain and the hum of passing vehicles,,,,,,,,,,,
hereg_hungary__grain_field_3_20080712.wav,Crickets and other bugs are creating sounds in the distance.,Different insects outdoors making noise in the night.,Insects buzz and fly around while crickets chirp.,It is night time and the crickets are chirping.,insects and cricket are buzzing and making noises,"Insects buzzed and fluttered about, while crickets chirped.",,,,,,,,,,,
wind on lanyards .wav,A wind howls in the background as wooden chimes clang and resonate.,Different solid metal objects striking other metal objects and a whistle going off.,Metal parts clang against each other near a highway while cars drive by.,Metals clanging against each other next to a road with cars driving by.,"The wind howls, and wooden chimes ring loudly.","In the background, the wind howls fiercely, wooden bells jingle, and birds chirp.",,,,,,,,,,,
Cincinnati Cityscape with stereo bridge traffic.wav,A car or some other type of vehicle driving fast with the window open,Cars are passing by at a constant rate.,Cars drive by in a constant stream of movement.,Cars driving at a near by highway and a moving train.,The car is driving very fast with the window open.,Vehicles kept speeding by.,,,,,,,,,,,
Sizzling Bacon.wav,"A pan fries food small in a small amount of liquid, fat or grease on an indoor stove.",Bacon in the frying pan sizzling sounding like water running into a sink.,Food is cooking and sizzling in oil in a frying pan.,Food is cooking in the oil that is in a frying pan.,bacon sizzling in a hot frying pan or water running into a sink,Bacon or some other ingredient sizzles in a hot skillet.,,,,,,,,,,,
crickets1.wav,A bird chirps as men speak and traffic drives past.,A bird chirps as men speak as a bird chirps and traffic drives past.,"Birds are tweeting, and then a man speaks.",Bugs make noise while people are talking and a vehicle takes off and shifts out.,The noise from the cars rings out as people talk and a bird tweets.,"Birds chirp, crickets chirp, men talk, vehicles pass by.",,,,,,,,,,,
Footdrags Dirt.wav,A person is hiking on a dirt terrain.,Short and gravely footsteps that begin to slow down.,Someone is walking through the dirt at a relaxed pace.,Someone walking through the dirt at a pretty relaxed rate.,The person is hiking on a dirt terrain., Someone walking through the dirt at a pretty relaxed rate.,,,,,,,,,,,
Wood_Creak_02.wav,A creaking floorboard under a rocking chair in a small room.,A door is creaking as it is opened and closed slowly.,A rocking chair in a small room is making the floor creak.,"The door is sliding very slowly, forward and back again.",The door opening and closing slowly causes a creaking.,The floor creaked.,,,,,,,,,,,
bell_church.wav,ONE BELL RINGS WHILE OTHER BELLS CHIME IN ALL AT ONCE.,"One bell chimes at first and then more bells are added, ringing all together.",Two sets of church bells are tolling at intervals.,Two sets of church bells ring at varying intervals.,the bell tower is signalling that it is mid day,"Two sets of church bells ring at different intervals, with birdsong in the background.",,,,,,,,,,,
OUTDOORSgroceryparkinglot.wav,A car is driving quickly on the road and a truck squeals its brakes.,A large truck starting and driving off with other traffic sounds in the background.,A large truck starts and drives off into traffic.,During the day heavy traffic passes over a bridge,heavy traffic passing over a bridge in the day time,"A car speeds down the road as a large truck starts up and pulls away, with other traffic noise and birdsong in the background.",,,,,,,,,,,
radio_static.wav,A fire cutter is filing and cutting metal into shapes,Some radio static followed by a high noise that gets lower.,Static followed by a high noise that goes low,Static from an electronic device being interrupted by another device.,The static of an electronic device was interrupted by another device.,Some radio static followed by a high noise that gets lower.,,,,,,,,,,,
landschap3.wav,A person is jogging closer and exhaling with exertion.,Birds are gently chirping in a quiet outdoor setting.,Birds are lightly chirping against a calming sea breeze.,Birds chirp lightly against a calming sea breeze.,The sounds of nature such as birds chirping and an individual coughing in the background.,"Birds chirp softly in the quiet outdoor setting, with the sound of someone sighing or breathing in the background.",,,,,,,,,,,
2 Gardener - May 2013 - Take01 - ZOOM H2n.wav,A hand held sander was used as various speeds.,A power tool is being used to cut grass.,A weed whacker trimming edges from a lawn.,A weed whacker trims the edges of a lawn.,Someone is operating a weed eater power tool.,Weed trimmers or lawn mowers for trimming,,,,,,,,,,,
20130723_Rain1.wav,A car honks from the midst of a rainstorm.,A vehicle comes to a stop and idles with clunking sound before multiple honks and yells interfere.,Rain from a rainstorm is hitting surfaces and a car honks,Rain hitting the ground before and after two vehicles honk their horns and a man hollers in the background.,The rain is coming down hard and a horn blows in the distance.,"Rain fell on the ground. Two cars honked their horns. In the background, shouts be heard in the background..",,,,,,,,,,,
cowbell.wav,A small bell rings rapidly and then slows down.,Someone is ringing a bell repeatedly and consistently but with an irregular pattern.,Someone is sounding a bell repeatedly and consistently but with an irregular pattern.,"The bell clanks again and again, sounding multiple times.",The bell sounds multiple times as it clanks.,"The little bell rang quickly, then its sound gradually slowed down.",,,,,,,,,,,
FranklinStoveDoorGroansandHits_RX.wav,A hard object being dragged across a metal floor and someone breathing at the same time.,A very low pitched door squeaks as it is opened and closed.,Getting in position in an old wooden chair for a second and then something smacks.,Getting positioned in an old wooden chair for a second and then a slap.,Someone is breathing while a hard object is dragged across a metal floor.,"The door emits a very low squeak when opening and closing, accompanied by the sound of someone breathing.",,,,,,,,,,,
wind3.wav,Air is being forced through a small opening and almost making whistling noises.,The wind howled violently and shrilly then began to taper off.,The wind is blowing through the corn field very loudly.,The wind is heard whistling outside from inside.,Wind howls violently and shrilly then begins to taper off.,The persistent sound of wind,,,,,,,,,,,
thunderstorm_2.wav,A thunder storm booms in the distance as rain is falling,In the distance thunder rolls in while rain gently hits the ground.,Pouring rain falls hard as thunder rumbles in the background.,Thunder in the distance as rain steadily falls.,Thunder roars distantly as the rain continues to fall.,Thunder rumbled in the distance as rain gently tapped against the ground.,,,,,,,,,,,
medium_distance_thunderclap_2.wav,It is raining lightly when lightning strikes nearby.,It is raining lightly when thunder strikes and hits.,Thunder in the distance and rain is starting to fall on a hard surface.,Thunder rumbles in the distance while rain patters on the pavement.,Thunder sounds in the forest and increases as time progresses.,Thunder rumbled in the distance as rain began to fall on the hard ground.,,,,,,,,,,,
torch.wav,A click signals an old gas grill bursting into flame.,A lighter clicks and ignites a jet of gas.,A radio being turned on and the tuner is picking static noise.,As the lighter clicked the gas is ignited.,Turning the radio dial is only producing static.,A lighter clicks and ignites a jet of gas.,,,,,,,,,,,
20140210FallingIce.wav,A hail storm hitting a ground in the backyard.,Footsteps and dirt and gravel being dumped onto a hard surface.,"In a storm, hail hits the ground in the backyard.","The trees have rain coming through them, and the intensity is changing.",rain falling through the trees at varying intensities,Hailstones strike hard surfaces.,,,,,,,,,,,
cat eating cat food.wav,A person dumps a container of small objects and then pulls at the sides,A person dumps some small objects out of a container and then pulls at the sides.,"""A plastic bug scrunches, and then a person snaps their fingers a few times.""","""Dried beans are poured onto a tabletop, then crushed a few at a time.""",The crunching of small objects in a very quiet room.,"Pour the cat food out of the container, and then the kitten eats.",,,,,,,,,,,
Big_Roundabout_Traffic.wav,A large vehicle passes by followed by many more.,Cars drive on a new paved highway and the cars pass by quickly.,Lots of traffic on the interstate today as many car are being passed by a truck.,Traffic on an interstate with a truck passing by some cars.,out on the highway many vehicles passing by continuously,A large vehicle passes by followed by many more.,,,,,,,,,,,
fonte_0002.wav,A liquid drips quietly into another liquid with wind in the background.,Echoes of light drops of water drip onto a stone surface.,Water dripping out of a faucet with traffic sounds in the background.,"Water drips out the faucet, with sound from traffic.",Water is dripping down while cars are passing.,"Drops of water gently fall upon the stone surface, leaving echoes behind, against a backdrop of cars passing by and faint bird calls.",,,,,,,,,,,
20080805.birches.n.birds.01.wav,A crow caws and many song birds sing.,A seagull squawking and several other birds chirping.,A seagull squawks while several other birds chirp.,"""With a heavy, coastal wind blowing in the background, seagulls screech at each other.""",birds are continuously squawking and chirping near a stream of flowing water,A seagull squawks while several other birds chirp.,,,,,,,,,,,
Fireworks-close-01nov2014.wav,Fireworks are lit and launched up into the sky and exploding.,Fireworks being lit and fired up in the sky and exploding.,Fireworks shoot off and then pop a little later.,Tape is stretched and then the taped up boxes are taken away,The fireworks shoot off and then pop a little later.,Fireworks are lit and launched up into the sky and exploding.,,,,,,,,,,,
Trompetistas.wav,A person playing a song with a trumpet outside on the road as other instruments joins in.,A person plays a horn out in the streets.,A trumpet plays then a second joins briefly and a yip of a dog at the end,A trumpet plays then a second joins briefly before a dog barks at the end.,"a trumpet singing out on the road, another instrument follows it","First the trumpet sounded, then a second trumpet briefly joined in.",,,,,,,,,,,
radio-waves-surround-sound-front.wav,A radio is being changed between multiple stations without settling on one.,A radio tuner being switched through static and radio stations.,A radio tuner is being moved through static and different radio stations.,Someone adjusting the radio and getting a mix of signals.,Someone is adjusting the radio and getting a mix of signals., A radio tuner being switched through static and radio stations.,,,,,,,,,,,
Whistling in the shower.wav,A shower is running in the background while a person whistles a tune.,Someone whistles happily while washing up in the shower.,The shower is running and a person is whistling a song and repeating the same tune over and over.,"The shower is running and a person is whistling a song, repeating the same tune over and over.",While washing up in the shower someone whistles a happy tune,"The sound of running water filled the air as someone whistled a tune, repeating the same melody over and over.",,,,,,,,,,,
Open and Close DVD Cases.wav,A dog is crunching and chewing on a large hard bone.,"A person opens a CD case, takes out the CD and puts it back inside clicking it shut.","A person opens a CD case, takes the CD out, puts it back inside and clicks it shut.",Hard objects are being dropped and moved across another hard object.,Someone is placing small hard objects on a wooden table.,"A person opens a CD case, takes the CD out, puts it back inside and clicks it shut.",,,,,,,,,,,
merlin engine.wav,A machine running and picking up some power,"A machine runs, and picks up some power.",An engine is alternating between idling and revving up a little.,An engine is alternating between idling and slightly revving up.,Weeds are being cut with a gas powered weed trimmer.,An engine is alternating between idling and revving up a little.,,,,,,,,,,,
FP_Refrigerator_Door_Squeak.wav,A creaky door is pushed opened and closed a few times.,A door creaks back and forth as it opens and shuts.,A squeaking door is moved back and forth by someone.,Someone is opening and closing a creaky door repetitively,The door is creaking when it is opened or closed.,A creaking door was pushed open and shut several times.,,,,,,,,,,,
Buddhist Bells.wav,A bell is rung threes times and the ringing fades away between each ring.,A person plays a triangle and it vibrates the sound.,"""Metal instruments are being struck repeatedly, creating a high pitched noise""",Metal instruments are struck repeatedly creating a high pitched noise,Someone playing the triangle with vibrations creating sound.,Repeatedly striking a metal instrument produces a sharp noise.,,,,,,,,,,,
Living Minute - Noisy Neighborhood at Night.wav,"As a siren goes off, dogs are barking and birds are chirping near one another.","Different dogs barking and birds chirping in close proximity to each other, and a siren going off.","In natural settings, a dog is barking while a police car comes nearer.",Two dogs are barking while the alarm of a ambulance travels a short distance.,multiple types of dogs barking and sirens sounding in the background,"Different dogs barking and birds chirping in close proximity to each other, and a siren going off.",,,,,,,,,,,
WinterWoodsWalkJan14th2016.wav,Footsteps on an outdoors place with twigs and leaves,Some large feet crunch the snow beneath them.,"Someone is walking on a street with leaves, stops briefly, then keeps walking.",Someone is walking on street with leaves with a brief stop then keeps walking.,"Someone walking on dirt or gravel pauses, then moves along.","Someone walks along a street covered in fallen leaves or snow, pauses briefly, then continues onward, with the persistent chirping of birds in the background.",,,,,,,,,,,
Misc_bird_calls_light_traffic.wav,Birds are singing beautifully against the city noise on the streets.,Birds chirp harmoniously as car engines purr in the distance.,Birds sing in a park outside of the city streets.,Different types of birds are chirping while vehicles drive by.,various birds are singing while cars are driving past,Birds chirp harmoniously as car engines purr in the distance.,,,,,,,,,,,
Static sputtering noises 1.wav,A static with a high pitch coming from a television.,A television is emitting static with a high pitch.,Someone is trying to tune the static on a radio in search of a station.,Someone trying to tune the static from a radio in search of a station.,The output of the frequency of a radio signal was distorted,A sharp static noise.,,,,,,,,,,,
mower.wav,A distant lawn mower is started up and begins cutting grass.,A lawn mower starts and begin cutting grass in the distance.,"""Pull string on internal combustion engine lawn mower, mow lawn, shut mower off.""","""Pull the string on internal combustion engine lawn mower, mow the lawn, shut the mower off.""",The wind is blowing very hard in the background while someone is mowing the lawn.,"Pull string on internal combustion engine lawn mower, mow lawn, shut mower off.",,,,,,,,,,,
Ketchup Farts #2.wav,A liquid is completely squeezed out of a tube.,A liquid is squeezed out of a tube until it is empty.,An air bladder being emptied into a jelly like material.,Something is being squeezed out of a bottle with difficulty.,The last of the liquid soap is being squeezed out of the bottle.,A liquid is squeezed out of a tube until it is empty.,,,,,,,,,,,
natureatmosphere.wav,"A soft wind blows while crickets chirp, a bird squawks three times and a man speaks then laughs.",Bugs chirp in the background and then a man speaks.,Cars drive in the distance as a person talks in the woods.,Traffic moves outside while the voice of a man talks.,some traffic is outside and the voice of a man talks,"Crickets chirp, birds chirp three times, a person speaks, then bursts into laughter, with the sound of vehicles passing and wind rustling in the background.",,,,,,,,,,,
Birds in Pujipor.wav,A person is talking to someone as animals make small noises.,A person talking to someone as animals make small noises.,Birds chirp in the background while people chatter with each other at the park.,Over a background of conversation the birds chirp and caw,The birds are cawing and chirping while some people are talking in the background,"People chatted with each other, with birds chirping in the background.",,,,,,,,,,,
